Subject_ID,Subject_Description,Keywords
1,Need gratification theory,"motivation, urge, innate, Need gratification theory"
2,Coping style,"dealing with problems, Coping style"
3,CONSEQUENCES of HAPPINESS,"after effect, effect, outcome, sequel, result, CONSEQUENCES of HAPPINESS"
4,Methods used in happiness research (other than cross-sections),"methodology, statistics, Methods used in happiness research (other than cross-sections)"
7,Time orientation,"temporal, Time orientation"
9,Conventionality of outlook,"unoriginal, common place, Conventionality of outlook"
11,Hierarchy of the correspondence with happiness: Which domain satisfactions correspond most with happiness?,"dominance, preponderance, prevalence, weight, Hierarchy of the correspondence with happiness: Which domain satisfactions correspond most with happiness?"
12,Financial situation,"earnings, income, means,  poor, rich, wealth, standard of living, Financial situation"
13,Age,"generation, ascribed status, cohort, Age"
14,Widowers,"bereaved, Widowers"
15,Morale in old age,"adjustment to old age, successful ageing, Morale in old age"
16,Effects on social bonds,"family, friends, relatives, Effects on social bonds"
17,Psychological treatment,"psychotherapy, mental training, Psychological treatment"
18,Family life cycle,"phase, stage, Family life cycle"
19,Happiness and Social Support,"back up, care, help, maintain, nourish, social capital, Happiness and Social Support"
20,Happiness levels in nations,"country, land, state, Happiness levels in nations"
21,Reviews of the literature on happiness,"state of the art, overview, literature survey, research synthesis, Reviews of the literature on happiness"
22,Happiness and social roles,"social script, expectation linked to social position, Happiness and social roles"
23,Mental defects: negative mental health,"abnormal, maladjusted, mental illness, disturbed, mad, psychopathology, Mental defects: negative mental health"
24,Factor structure of happiness inventories,"cluster, scale structure, multiple questions, Factor structure of happiness inventories"
25,Comparison across persons,"interpersonal comparison, Comparison across persons"
26,Meanings in scientific language,"formal definition, delineation, Meanings in scientific language"
27,Why low correlations?,"association, effect size, strength, Why low correlations?"
28,Social status of more and less happy people,"rank, position, class, level, category, standing, Social status of more and less happy people"
29,Gender roles,"sex, gender, male female, norm, position, sex role, Gender roles"
30,Intimate environment in childhood,"family, friends, Intimate environment in childhood"
31,Economy in vicinity,"market, production, subsistence, trade, wealth, Economy in vicinity"
32,Self-perceived health,"self rated, self report, Patient Reported Outcome (PRO), Health Related Quality of Life (HQOL), Self-perceived health"
33,Institutional living,"asylum, camp, care home, hospital, Institutional living"
34,Self-concept,"identity, self-image, self-respect, Self-concept"
35,Physical health,"body, constitution, fitness, Physical health"
36,Elderly,"aged, old, Elderly"
37,Effects on performance,"accomplishment, achievement, Effects on performance"
38,Effects on learning,"education, school, Effects on learning"
39,Comparison across nations/languages,"cross-cultural comparison, Comparison across nations/languages"
40,Relevance,"significance, importance, Relevance"
41,Demography in the nation,"age, birth, death, ethnic, gender, sex, income, education, migration, minority, social status, social rank, Demography in the nation"
42,Trend in national happiness,"country, state, land, Trend in national happiness"
43,Validity of happiness measurements,"bias, believability, credibility, soundness, trustworthy, Validity of happiness measurements"
44,Can happiness indicators be validated?,"gauged, checked, controlled, Can happiness indicators be validated?"
45,Intercorrelations between happiness indicators,"association, statistical relation, Intercorrelations between happiness indicators"
46,Components of happiness,"structure of happiness, constitutive elements, kinds, variants, Components of happiness"
47,Measures of overall happiness,"life satisfaction, life as a whole, global judgement, Measures of overall happiness"
48,Method effects,"technique of assessment bias, Method effects"
49,Self-report on direct questions,"right away, obtrusive, straight, not indirect, self rating,, Self-report on direct questions"
50,Striking the balance of life,"evaluation of life, heuristic, mental process, Striking the balance of life"
51,Satisfactions,"appraisal, appreciation, assessment, attitude, contentment, evaluation, judgment, opinion, Satisfactions"
