TITLE ORIGINAL,AUTHORS,PUBLICATION YEAR
"Glücksvorstellungen: Ein Rückgriff in die Geschichte der Soziologie.","Bellebaum, A.; Barheier, K.","1997"
"Modeling the Psychological Determinants of Life-Quality.","Abbey, A.; Andrews, F.M.","1985"
"Handling the Stress of Looking for a Job in Law School: The Relationships between Intrinsic Motivation, Internal Attributions, Relations with Others and Happiness.","Abbey, A.; Brickman, P.; Dunkel-Schetter, C.","1983"
"Auswirkungen von Wohlbefinden oder: Kann gute Laune Schaden?","Abele-Brehm, A.","1991"
"Wohlbefinden: Theorie, Empirie, Diagnostik.","Abele-Brehm, A.; Becker, P.","1992"
"Sportliche Aktivität und Wohlbefinden.","Abele-Brehm, A.; Brehm, W.; Gall, W.","1991"
"A Case-Control Study of Climacteric Symptoms and Complaints of Japanese Women by Symptomatic Type for Psychological Variables.","Abe, T.; Moritsuka, T.","1986"
"Pilot Analysis of a Happiness Questionnaire.","Abramson, M.; Angers, W.; Cheperon, J.; Kohut, M.; Lalouch, H.","1981"
"Demographic Correlates of Values.","Abrams, M.","1985"
"The Condition of the British People: Report on a Pilot Survey using Self-Rating Scales.","Abrams, M.; Hall, J.","1972"
"Farm Work and Family: Major Sources of Satisfaction for Farm Families.","Ackerman, N.M.; Bailey, D.; Jenson, G.O.","1989"
"Objective and Subjective Income Adequacy: Their Relationship to Perceived Life Quality Measures.","Ackerman, N.M.; Paolucci, B.","1983"
"Subjective Life Quality in Diary Farm Households.","Lewis, C.A.; Bailey, D.; Jenson, G.O.","1988"
"Correlates of Satisfaction among the Elderly.","Adams, D.L.","1971"
"Analysis of a Life Satisfaction Index.","Adams, D.L.","1969"
"Which comes First: Poor Psychological Well-Being or Decreased Friendship Activity?","Adams, R.G.","1988"
"Das Selbst und die Glücksgefühle.","Adam, R.","1981"
"Quality of Marriage: A Comparison between Golden Wedding Couples and Couples Married less than Fifty Years.","Ade-Ridder, L.","1985"
"The Effects of Social Activity and Situational Constraint of Life-Satisfactions in an Elderly Inner City Population.","Adler, A.G.","1984"
"Lateness as Withdrawal Behavior.","Adler, S.; Golan, J.","1981"
"A Cross-Cultural Study of Self image: Indian, American, Australian and Irish Adolescents.","Agrawal, P.","1978"
"Opmerkingen over Menselijk Geluk.","Albersnagel, F.","1973"
"The Social Roles of Old People.","Albrecht, R.","1951"
"Some Sociological Aspects of Psychological Well-Being in a Schizophrenic Population: Social Class, Participation and Work.","Alexander, W.E.","1969"
"On the Intrapsychic Specificity of Happiness.","Alker, H.A.; Gawin, F.","1978"
